"prevBio1","bio1","prevBio12","bio12","prevMoisture","Moisture"
345,-27,491,0,5,0
1061,-25,107,0.1344828,248,461.56
816,-23,744,0.2689656,13823,923.12
956,-21,260,0.4034484,31530,1384.68
1465,-19,1236,0.5379312,45533,1846.24
2291,-17,652,0.672414,71614,2307.8
6375,-15,784,0.8068968,107072,2769.36
7976,-13,1439,0.9413796,215933,3230.92
7608,-11,1897,1.0758624,43202,3692.48
8031,-9,2848,1.2103452,15250,4154.04
9675,-7,3477,1.344828,7773,4615.6
11935,-5,4996,1.4793108,3813,5077.16
13174,-3,4674,1.6137936,1929,5538.72
15230,-1,5461,1.7482764,1132,6000.28
16175,1,7801,1.8827592,667,6461.84
15782,3,11426,2.017242,439,6923.4
14361,5,16959,2.1517248,295,7384.96
16831,7,22634,2.2862076,169,7846.52
16388,9,36884,2.4206904,153,8308.08
14006,11,43873,2.5551732,106,8769.64
12341,13,54387,2.689656,76,9231.2
15152,15,51274,2.8241388,46,9692.76
18501,17,42952,2.9586216,36,10154.32
19934,19,44835,3.0931044,21,10615.88
27701,21,38445,3.2275872,10,11077.44
36866,23,24807,3.36207,2,11539
55482,25,13237,3.4965528,6,12000.56
59677,27,2026,3.6310356,3,12462.12
NA,29,NA,3.7655184,NA,12923.68
